"Player","Position","MPG over Career","# of Trades","# of Trades/MPG"
"Martynas Andriuskevicius","C",1.5,5,3.33
"Cezary Trybanski","C",3.98,11,2.77
"Diamond Stone","C",3.4,6,1.76
"Jason Collins","C",19.53,27,1.38
"Les Jepsen","C",3.69,5,1.36
"Randy Holcomb","F",2.8,5,1.79
"Fennis Dembo","F",2.4,4,1.67
"Lazar Hayward","F",8.22,13,1.58
"Demetris Nichols","F",3.2,5,1.56
"Gani Lawal","F",2,3,1.5
"Tyson Wheeler","G",3,9,3
"Kevin Murphy","G",3.1,9,2.9
"Luis Flores","G",4.82,9,1.87
"Joseph Forte","G",5.04,9,1.79
"Andre Emmett","G",5.21,8,1.53
